id,event,species,sample,filtered,fp_type,particle_id,plastic_composite,microplastic,size_mm,type,colour,colcat,polymer,colcat-polymer,polymer_bin,spectra-allpro,spectra-batchpro,remove-polymer-allpro,subtract-polymer-allpro,subtract-mean-polymer-allpro,remove-polymer-batchpro,subtract-polymer-batchpro,lod-polymer-allpro,loq-polymer-allpro,remove_polymer+colcat_allpro,subtract_polymer+colour_allpro,remove_polymer+colour_batchpro,subtract_polymer+colour_batchpro,lod-polymer+colour-allpro,loq-polymer+colour-allpro,count-y-alltechniques,remove>half-alltechniques,count-y-polymer+colcattechniques,remove>half-polymer+colcattechniques
26-NOG-DIGFILT,26,NOG,DIGFILT,na,env,26NOGENVCON-DIGFILT_f1-1_E6_p6,Composite,MMP,0.065,MFR,BN,YL,PNMA+Resin,YL_PNMA+Resin,OTHER,,,,,,,,,,,,,,,,,,,
53-NOG-DIGFILT,53,NOG,DIGFILT,na,env,53NOGENVCON-DIGFILT_f1-1_D4_p1,Composite,MMP,0.041,MFR,RD-BL,RD,PEST,RD_PEST,PEST,,,,,,,,,,,,,,,,,,,
53-NOG-DIGFILT,53,NOG,DIGFILT,na,env,53NOGENVCON-DIGFILT_f1-1_D8_p9,Plastic,MP,1.013,FB,GN,BL,PET,BL_PET,PET,,,,,,,,,,,,,,,,,,,
13-ANI-PROCON,13,ANI,PROCON,14,pro,13ANIPROCON-14D_f1-1_D4_p1,Composite,MMP,0.107,MFR,BL,BL,PEST,BL_PEST,PEST,,,,,,,,,,,,,,,,,,,
13-ANI-PROCON,13,ANI,PROCON,21,pro,13ANIPROCON-21D_f1-2_D4_p1,Composite,MMP,0.101,MFR,OR,RD,PEST,RD_PEST,PEST,,,,,,,,,,,,,,,,,,,
13-NOG-PROCON,13,NOG,PROCON,07,pro,13NOGPROCON-07D_b2-2_f1-1_C5_p2,Composite,MMP,0.083,MFR,PK,RD,PEST-PB-PP,RD_PEST-MIX,PEST-MIX,,,,,,,,,,,,,,,,,,,
13-NOG-PROCON,13,NOG,PROCON,14,pro,13NOGPROCON-14D_b1-2_f1-1_D5_p1,Composite,MMP,0.079,MFR,PK,RD,PEST-ABT,RD_PEST-MIX,PEST-MIX,,,,,,,,,,,,,,,,,,,
13-NOG-PROCON,13,NOG,PROCON,14,pro,13NOGPROCON-14D_b1-2_f1-1_D4_p1,Composite,MMP,0.205,MFR,BL,BL,PEST-PB,BL_PEST-MIX,PEST-MIX,,,,,,,,,,,,,,,,,,,
13-NOG-PROCON,13,NOG,PROCON,14,pro,13NOGPROCON-14D_b1-2_f1-1_D3_p1,Composite,MMP,0.085,MFR,BL,BL,PEVC-Resin,BL_PEVC-Resin,OTHER,,,,,,,,,,,,,,,,,,,
13-NOG-PROCON,13,NOG,PROCON,14,pro,13NOGPROCON-14D_b1-2_f1-1_E4_p1,Plastic,MMP,0.111,MFR,BN,YL,EVA,YL_EVA,EVA,,,,,,,,,,,,,,,,,,,
