sample,event,species,type,lab,contamination,plastic-composite,length_mm,girth_mm,gapetosnout_mm,vmo_mm,hmo_mm,weight_g,gut_g,stomach_fullness_index,heart_g,liver_g,condition,total_plastic_particles,black,blue,red,yellow,colourless,fragment_film_bead,fibre_rod,length0-100um,length_101-200um,length_201-300,length_301-400um,length_401-500,length_501-5000,pvc,pet,pa,pe,pest,pest-mix,pma,pnma,eva,pur,pp,other
13ANI08,13,ANI,dig,Hardy301,conservative,composite,261,112,33.89,44.76,44.66,135.7,5.987,1,0.934,na,0.763235084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI09,13,ANI,dig,Hardy301,original,plastic,256,117,33.63,29.97,32.86,123.9,6.454,1,1.173,1.563,0.738501549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI09,13,ANI,dig,Hardy301,extreme,plastic,256,117,33.63,29.97,32.86,123.9,6.454,1,1.173,1.563,0.738501549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI09,13,ANI,dig,Hardy301,conservative,plastic,256,117,33.63,29.97,32.86,123.9,6.454,1,1.173,1.563,0.738501549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI09,13,ANI,dig,Hardy301,original,composite,256,117,33.63,29.97,32.86,123.9,6.454,1,1.173,1.563,0.738501549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI09,13,ANI,dig,Hardy301,extreme,composite,256,117,33.63,29.97,32.86,123.9,6.454,1,1.173,1.563,0.738501549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI09,13,ANI,dig,Hardy301,conservative,composite,256,117,33.63,29.97,32.86,123.9,6.454,1,1.173,1.563,0.738501549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI10,13,ANI,dig,Hardy301,original,plastic,242,111,30.77,26.22,31.09,106,5.211,2,0.711,1.255,0.747927957,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13ANI10,13,ANI,dig,Hardy301,extreme,plastic,242,111,30.77,26.22,31.09,106,5.211,2,0.711,1.255,0.747927957,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13ANI10,13,ANI,dig,Hardy301,conservative,plastic,242,111,30.77,26.22,31.09,106,5.211,2,0.711,1.255,0.747927957,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13ANI10,13,ANI,dig,Hardy301,original,composite,242,111,30.77,26.22,31.09,106,5.211,2,0.711,1.255,0.747927957,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13ANI10,13,ANI,dig,Hardy301,extreme,composite,242,111,30.77,26.22,31.09,106,5.211,2,0.711,1.255,0.747927957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI10,13,ANI,dig,Hardy301,conservative,composite,242,111,30.77,26.22,31.09,106,5.211,2,0.711,1.255,0.747927957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI11,13,ANI,dig,Hardy301,original,plastic,259,106,33.86,24.28,31.86,120.1,5.297,2,0.817,1.619,0.691263642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI11,13,ANI,dig,Hardy301,extreme,plastic,259,106,33.86,24.28,31.86,120.1,5.297,2,0.817,1.619,0.691263642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI11,13,ANI,dig,Hardy301,conservative,plastic,259,106,33.86,24.28,31.86,120.1,5.297,2,0.817,1.619,0.691263642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI11,13,ANI,dig,Hardy301,original,composite,259,106,33.86,24.28,31.86,120.1,5.297,2,0.817,1.619,0.691263642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI11,13,ANI,dig,Hardy301,extreme,composite,259,106,33.86,24.28,31.86,120.1,5.297,2,0.817,1.619,0.691263642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI11,13,ANI,dig,Hardy301,conservative,composite,259,106,33.86,24.28,31.86,120.1,5.297,2,0.817,1.619,0.691263642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI12,13,ANI,dig,Hardy301,original,plastic,248,114,32.71,30.48,33.27,125.1,6.053,1,1.127,1.755,0.820166955,2,0,2,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
13ANI12,13,ANI,dig,Hardy301,extreme,plastic,248,114,32.71,30.48,33.27,125.1,6.053,1,1.127,1.755,0.820166955,2,0,2,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
13ANI12,13,ANI,dig,Hardy301,conservative,plastic,248,114,32.71,30.48,33.27,125.1,6.053,1,1.127,1.755,0.820166955,2,0,2,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
