sample,event,species,type,lab,contamination,length_mm,weight_g,weight_category,moutharea,moutharea_category,gut_g,condition,condition_category,total_plastic_particles,black,blue,red,yellow,colourless,fragment_film_bead,fibre_rod,length0-100um,length_101-200um,length_201-300,length_301-400um,length_401-500,length_501-5000,pvc,pet,pa,pe,pest,pest-mix,pma,pnma,eva,pur,pp,other
26ANI02,26,ANI,dig,Both,conservative,207,74.2,64.9–101,399.2,3.72–6.11,4.197,0.83655186,BCS3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26ANI03,26,ANI,dig,Both,original,240,114.4,101–137,552.2,3.72–6.11,11.942,0.827546296,BCS2,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI03,26,ANI,dig,Both,extreme,240,114.4,101–137,552.2,3.72–6.11,11.942,0.827546296,BCS2,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI03,26,ANI,dig,Both,conservative,240,114.4,101–137,552.2,3.72–6.11,11.942,0.827546296,BCS2,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI04,26,ANI,dig,Both,original,241,119.6,101–137,1394.8,13.30–15.70,10.397,0.854437011,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI04,26,ANI,dig,Both,extreme,241,119.6,101–137,1394.8,13.30–15.70,10.397,0.854437011,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI04,26,ANI,dig,Both,conservative,241,119.6,101–137,1394.8,13.30–15.70,10.397,0.854437011,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI05,26,ANI,dig,Both,original,260,154.8,137–174,485.7,3.72–6.11,10.394,0.880746472,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI05,26,ANI,dig,Both,extreme,260,154.8,137–174,485.7,3.72–6.11,10.394,0.880746472,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI05,26,ANI,dig,Both,conservative,260,154.8,137–174,485.7,3.72–6.11,10.394,0.880746472,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI06,26,ANI,dig,Both,original,260,151,137–174,580.1,3.72–6.11,12.536,0.859126081,BCS3,2,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
26ANI06,26,ANI,dig,Both,extreme,260,151,137–174,580.1,3.72–6.11,12.536,0.859126081,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
